,trial,center_freq,3dB_freq,res_sharpness,abf_name,cell_ID,file_time,has_spike
10,avg,0,0.856956956956957,0,15312093.abf,9,2015-03-12 15:47:22.528,0.0
21,avg,0,6.354854854854854,0,15127120.abf,7,2015-01-27 19:46:37.773,0.0
32,avg,0,6.514214214214213,0,15127075.abf,6,2015-01-27 17:28:23.546,0.0
37,avg,0,12.53003003003003,0,14304312.abf,1,2014-03-04 17:13:21.004,0.0
48,avg,0,4.92062062062062,0,15312067.abf,8,2015-03-12 15:22:46.559,0.0
59,avg,0,10.617717717717717,0,14d02005.abf,4,2014-12-02 14:42:43.376,0.0
64,avg,0,10.298998998998998,0,14317349.abf,3,2014-03-17 18:06:21.919,0.0
69,avg,0.0,19.621521521521522,0.0,14306307.abf,2,2014-03-06 11:53:18.801,0.0
80,avg,0,1.2951951951951952,0,14d02109.abf,5,2014-12-02 17:11:53.005,0.0
91,avg,0,12.669469469469469,0,15420098.abf,20,2015-04-20 16:39:22.467,0.0
101,avg,0,19.96016016016016,0,15407002.abf,18,2015-04-07 13:18:01.985,0.0
111,avg,0.9565565565565565,7.809009009009008,1.0403276106719155,14624360.abf,9,2014-06-24 16:41:16.993,0.0
122,avg,0.9565565565565565,5.338938938938939,1.0746119978869146,14911304.abf,11,2014-09-11 17:30:00.312,0.0
125,avg,0,0.8768768768768769,0,14605377.abf,7,2014-06-05 18:16:35.219,0.0
136,avg,0,6.056056056056056,0,14n04363.abf,16,2014-11-04 18:24:54.654,0.0
140,avg,3.327027027027027,16.075775775775774,1.0968514839651864,14605350.abf,6,2014-06-05 17:27:45.913,0.0
151,avg,3.2672672672672673,16.593693693693695,1.031664548839584,15224013.abf,17,2015-02-24 13:21:10.727,0.0
155,avg,1.1358358358358358,6.255255255255254,1.2752980760294277,14512308.abf,1,2014-05-12 17:29:43.359,0.0
165,avg,0.0,7.052052052052051,0.0,14715335.abf,10,2014-07-15 19:05:01.420,0.0
176,avg,3.2871871871871874,14.302902902902902,1.0928926553471117,15420003.abf,19,2015-04-20 13:50:35.474,0.0
187,avg,4.8210210210210205,20.0,1.0808503373438307,14617313.abf,8,2014-06-17 13:04:33.452,0.0
198,avg,0.5581581581581582,4.482382382382382,1.0362194476806144,14626301.abf,21,2014-06-26 13:00:16.803,0.0
